receptor,family,region,region_name,fmol_per_mg_protein,areas,fit
"M3 muscarinic","Acetylcholine","Parietal_Sup","Superior Parietal Lobule","989","5L","approx"
"M3 muscarinic","Acetylcholine","Parietal_Inf","Inferior Parietal Lobule","720","PFm","approx"
"M3 muscarinic","Acetylcholine","SupraMarginal","Supramarginal Gyrus","733","PFt PFm","approx"
"M3 muscarinic","Acetylcholine","Angular","Angular Gyrus","1301","PGa PGp","exact"
"M3 muscarinic","Acetylcholine","Precuneus","Precuneus","883","31 5M","approx"
"M3 muscarinic","Acetylcholine","Paracentral_Lobule","Paracentral Lobule","1004","5M","approx"
"M3 muscarinic","Acetylcholine","Calcarine","Calcarine Cortex","540","V1","exact"
"M3 muscarinic","Acetylcholine","Cuneus","Cuneus","401.3","V2d V3A V3d","approx"
"M3 muscarinic","Acetylcholine","Lingual","Lingual Gyrus","441.3","V2v V3v V4v","approx"
"M3 muscarinic","Acetylcholine","Occipital_Sup","Superior Occipital Gyrus","391.5","V3A V3d","approx"
"M3 muscarinic","Acetylcholine","Occipital_Mid","Middle Occipital Gyrus","1014","37L","approx"
"M3 muscarinic","Acetylcholine","Occipital_Inf","Inferior Occipital Gyrus","423","V3v V4v","approx"
"M3 muscarinic","Acetylcholine","Fusiform","Fusiform Gyrus","671","FG1 FG2 37B 37M","approx"
"α4β2 nicotinic","Acetylcholine","Precentral","Precentral Gyrus","51.5","4 6","approx"
"α4β2 nicotinic","Acetylcholine","Frontal_Sup","Superior Frontal Gyrus","90","8 9","approx"
"α4β2 nicotinic","Acetylcholine","Frontal_Mid","Middle Frontal Gyrus","88.5","8 9 10L 46","approx"
"α4β2 nicotinic","Acetylcholine","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","47","44","exact"
"α4β2 nicotinic","Acetylcholine","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","47","45","exact"
"α4β2 nicotinic","Acetylcholine","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","89","47","approx"
"α4β2 nicotinic","Acetylcholine","Supp_Motor_Area","Supplementary Motor Area","34","6","approx"
"α4β2 nicotinic","Acetylcholine","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","68","10M","approx"
"α4β2 nicotinic","Acetylcholine","Frontal_Med_Orb","Medial Orbitofrontal Cortex","60","11","approx"
"α4β2 nicotinic","Acetylcholine","Rectus","Gyrus Rectus","60","11","approx"
"α4β2 nicotinic","Acetylcholine","Cingulum_Ant","Anterior Cingulate","99","24 32","approx"
"α4β2 nicotinic","Acetylcholine","Cingulum_Mid","Middle Cingulate","66","24 23","approx"
"α4β2 nicotinic","Acetylcholine","Cingulum_Post","Posterior Cingulate","51.5","23 31","approx"
"α4β2 nicotinic","Acetylcholine","ParaHippocampal","Parahippocampal Gyrus","34","36","approx"
"α4β2 nicotinic","Acetylcholine","Heschl","Heschl's Gyrus","46","41 42","approx"
"α4β2 nicotinic","Acetylcholine","Temporal_Sup","Superior Temporal Gyrus","34","42 22","approx"
"α4β2 nicotinic","Acetylcholine","Temporal_Pole_Sup","Temporal Pole, Superior","39","38","exact"
"α4β2 nicotinic","Acetylcholine","Temporal_Mid","Middle Temporal Gyrus","34","21","exact"
"α4β2 nicotinic","Acetylcholine","Temporal_Pole_Mid","Temporal Pole, Middle","39","38","exact"
"α4β2 nicotinic","Acetylcholine","Temporal_Inf","Inferior Temporal Gyrus","36","37B 37L 20","approx"
"α4β2 nicotinic","Acetylcholine","Postcentral","Postcentral Gyrus","41.8","1 2 3a 3b","exact"
"α4β2 nicotinic","Acetylcholine","Parietal_Sup","Superior Parietal Lobule","39","5L","approx"
"α4β2 nicotinic","Acetylcholine","Parietal_Inf","Inferior Parietal Lobule","33","PFm","approx"
"α4β2 nicotinic","Acetylcholine","SupraMarginal","Supramarginal Gyrus","30.5","PFt PFm","approx"
"α4β2 nicotinic","Acetylcholine","Angular","Angular Gyrus","45.5","PGa PGp","exact"
"α4β2 nicotinic","Acetylcholine","Precuneus","Precuneus","43","31 5M","approx"
"α4β2 nicotinic","Acetylcholine","Paracentral_Lobule","Paracentral Lobule","41","5M","approx"
"α4β2 nicotinic","Acetylcholine","Calcarine","Calcarine Cortex","39","V1","exact"
"α4β2 nicotinic","Acetylcholine","Cuneus","Cuneus","37.3","V2d V3A V3d","approx"
"α4β2 nicotinic","Acetylcholine","Lingual","Lingual Gyrus","41","V2v V3v V4v","approx"
"α4β2 nicotinic","Acetylcholine","Occipital_Sup","Superior Occipital Gyrus","37.5","V3A V3d","approx"
"α4β2 nicotinic","Acetylcholine","Occipital_Mid","Middle Occipital Gyrus","36","37L","approx"
"α4β2 nicotinic","Acetylcholine","Occipital_Inf","Inferior Occipital Gyrus","42","V3v V4v","approx"
"α4β2 nicotinic","Acetylcholine","Fusiform","Fusiform Gyrus","45.5","FG1 FG2 37B 37M","approx"
"α1 adrenoceptors (class)","Noradrenaline","Precentral","Precentral Gyrus","1036.5","4 6","approx"
"α1 adrenoceptors (class)","Noradrenaline","Frontal_Sup","Superior Frontal Gyrus","313","8 9","approx"
"α1 adrenoceptors (class)","Noradrenaline","Frontal_Mid","Middle Frontal Gyrus","309","8 9 10L 46","approx"
"α1 adrenoceptors (class)","Noradrenaline","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","126","44","exact"
"α1 adrenoceptors (class)","Noradrenaline","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","200","45","exact"
"α1 adrenoceptors (class)","Noradrenaline","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","308","47","approx"
"α1 adrenoceptors (class)","Noradrenaline","Supp_Motor_Area","Supplementary Motor Area","1880","6","approx"
"α1 adrenoceptors (class)","Noradrenaline","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","304","10M","approx"
"α1 adrenoceptors (class)","Noradrenaline","Frontal_Med_Orb","Medial Orbitofrontal Cortex","349","11","approx"
"α1 adrenoceptors (class)","Noradrenaline","Rectus","Gyrus Rectus","349","11","approx"
"α1 adrenoceptors (class)","Noradrenaline","Cingulum_Ant","Anterior Cingulate","460.5","24 32","approx"
"α1 adrenoceptors (class)","Noradrenaline","Cingulum_Mid","Middle Cingulate","401.5","24 23","approx"
"α1 adrenoceptors (class)","Noradrenaline","Cingulum_Post","Posterior Cingulate","328","23 31","approx"
"α1 adrenoceptors (class)","Noradrenaline","ParaHippocampal","Parahippocampal Gyrus","701","36","approx"
"α1 adrenoceptors (class)","Noradrenaline","Heschl","Heschl's Gyrus","256","41 42","approx"
"α1 adrenoceptors (class)","Noradrenaline","Temporal_Sup","Superior Temporal Gyrus","448.5","42 22","approx"
"α1 adrenoceptors (class)","Noradrenaline","Temporal_Pole_Sup","Temporal Pole, Superior","317","38","exact"
"α1 adrenoceptors (class)","Noradrenaline","Temporal_Mid","Middle Temporal Gyrus","656","21","exact"
"α1 adrenoceptors (class)","Noradrenaline","Temporal_Pole_Mid","Temporal Pole, Middle","317","38","exact"
"α1 adrenoceptors (class)","Noradrenaline","Temporal_Inf","Inferior Temporal Gyrus","417.3","37B 37L 20","approx"
"α1 adrenoceptors (class)","Noradrenaline","Postcentral","Postcentral Gyrus","284","1 2 3a 3b","exact"
"α1 adrenoceptors (class)","Noradrenaline","Parietal_Sup","Superior Parietal Lobule","309","5L","approx"
"α1 adrenoceptors (class)","Noradrenaline","Parietal_Inf","Inferior Parietal Lobule","321","PFm","approx"
"α1 adrenoceptors (class)","Noradrenaline","SupraMarginal","Supramarginal Gyrus","302.5","PFt PFm","approx"
"α1 adrenoceptors (class)","Noradrenaline","Angular","Angular Gyrus","301","PGa PGp","exact"
"α1 adrenoceptors (class)","Noradrenaline","Precuneus","Precuneus","348","31 5M","approx"
"α1 adrenoceptors (class)","Noradrenaline","Paracentral_Lobule","Paracentral Lobule","317","5M","approx"
"α1 adrenoceptors (class)","Noradrenaline","Calcarine","Calcarine Cortex","262","V1","exact"
"α1 adrenoceptors (class)","Noradrenaline","Cuneus","Cuneus","294.3","V2d V3A V3d","approx"
"α1 adrenoceptors (class)","Noradrenaline","Lingual","Lingual Gyrus","296.7","V2v V3v V4v","approx"
"α1 adrenoceptors (class)","Noradrenaline","Occipital_Sup","Superior Occipital Gyrus","280.5","V3A V3d","approx"
"α1 adrenoceptors (class)","Noradrenaline","Occipital_Mid","Middle Occipital Gyrus","307","37L","approx"
"α1 adrenoceptors (class)","Noradrenaline","Occipital_Inf","Inferior Occipital Gyrus","283.5","V3v V4v","approx"
"α1 adrenoceptors (class)","Noradrenaline","Fusiform","Fusiform Gyrus","278.8","FG1 FG2 37B 37M","approx"
"α2 adrenoceptors (class)","Noradrenaline","Precentral","Precentral Gyrus","101.5","4 6","approx"
"α2 adrenoceptors (class)","Noradrenaline","Frontal_Sup","Superior Frontal Gyrus","205","8 9","approx"
"α2 adrenoceptors (class)","Noradrenaline","Frontal_Mid","Middle Frontal Gyrus","200","8 9 10L 46","approx"
"α2 adrenoceptors (class)","Noradrenaline","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","179","44","exact"
"α2 adrenoceptors (class)","Noradrenaline","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","165","45","exact"
"α2 adrenoceptors (class)","Noradrenaline","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","193","47","approx"
"α2 adrenoceptors (class)","Noradrenaline","Supp_Motor_Area","Supplementary Motor Area","92","6","approx"
"α2 adrenoceptors (class)","Noradrenaline","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","177","10M","approx"
"α2 adrenoceptors (class)","Noradrenaline","Frontal_Med_Orb","Medial Orbitofrontal Cortex","207","11","approx"
"α2 adrenoceptors (class)","Noradrenaline","Rectus","Gyrus Rectus","207","11","approx"
"α2 adrenoceptors (class)","Noradrenaline","Cingulum_Ant","Anterior Cingulate","255.5","24 32","approx"
"α2 adrenoceptors (class)","Noradrenaline","Cingulum_Mid","Middle Cingulate","184.5","24 23","approx"
"α2 adrenoceptors (class)","Noradrenaline","Cingulum_Post","Posterior Cingulate","141.5","23 31","approx"
"α2 adrenoceptors (class)","Noradrenaline","ParaHippocampal","Parahippocampal Gyrus","175","36","approx"
"α2 adrenoceptors (class)","Noradrenaline","Heschl","Heschl's Gyrus","236.5","41 42","approx"
"α2 adrenoceptors (class)","Noradrenaline","Temporal_Sup","Superior Temporal Gyrus","200","42 22","approx"
"α2 adrenoceptors (class)","Noradrenaline","Temporal_Pole_Sup","Temporal Pole, Superior","127","38","exact"
"α2 adrenoceptors (class)","Noradrenaline","Temporal_Mid","Middle Temporal Gyrus","184","21","exact"
"α2 adrenoceptors (class)","Noradrenaline","Temporal_Pole_Mid","Temporal Pole, Middle","127","38","exact"
"α2 adrenoceptors (class)","Noradrenaline","Temporal_Inf","Inferior Temporal Gyrus","159","37B 37L 20","approx"
"α2 adrenoceptors (class)","Noradrenaline","Postcentral","Postcentral Gyrus","259.5","1 2 3a 3b","exact"
"α2 adrenoceptors (class)","Noradrenaline","Parietal_Sup","Superior Parietal Lobule","157","5L","approx"
"α2 adrenoceptors (class)","Noradrenaline","Parietal_Inf","Inferior Parietal Lobule","159","PFm","approx"
"α2 adrenoceptors (class)","Noradrenaline","SupraMarginal","Supramarginal Gyrus","150.5","PFt PFm","approx"
"α2 adrenoceptors (class)","Noradrenaline","Angular","Angular Gyrus","157","PGa PGp","exact"
"α2 adrenoceptors (class)","Noradrenaline","Precuneus","Precuneus","157.5","31 5M","approx"
"α2 adrenoceptors (class)","Noradrenaline","Paracentral_Lobule","Paracentral Lobule","159","5M","approx"
"α2 adrenoceptors (class)","Noradrenaline","Calcarine","Calcarine Cortex","353","V1","exact"
"α2 adrenoceptors (class)","Noradrenaline","Cuneus","Cuneus","240.7","V2d V3A V3d","approx"
"α2 adrenoceptors (class)","Noradrenaline","Lingual","Lingual Gyrus","211.3","V2v V3v V4v","approx"
"α2 adrenoceptors (class)","Noradrenaline","Occipital_Sup","Superior Occipital Gyrus","227.5","V3A V3d","approx"
"α2 adrenoceptors (class)","Noradrenaline","Occipital_Mid","Middle Occipital Gyrus","146","37L","approx"
"α2 adrenoceptors (class)","Noradrenaline","Occipital_Inf","Inferior Occipital Gyrus","202","V3v V4v","approx"
"α2 adrenoceptors (class)","Noradrenaline","Fusiform","Fusiform Gyrus","146.5","FG1 FG2 37B 37M","approx"
"5-HT1A","Serotonin","Precentral","Precentral Gyrus","200","4 6","approx"
"5-HT1A","Serotonin","Frontal_Sup","Superior Frontal Gyrus","426","8 9","approx"
"5-HT1A","Serotonin","Frontal_Mid","Middle Frontal Gyrus","451.5","8 9 10L 46","approx"
"5-HT1A","Serotonin","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","284","44","exact"
"5-HT1A","Serotonin","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","404","45","exact"
"5-HT1A","Serotonin","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","505","47","approx"
"5-HT1A","Serotonin","Supp_Motor_Area","Supplementary Motor Area","238","6","approx"
"5-HT1A","Serotonin","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","444","10M","approx"
"5-HT1A","Serotonin","Frontal_Med_Orb","Medial Orbitofrontal Cortex","505","11","approx"
"5-HT1A","Serotonin","Rectus","Gyrus Rectus","505","11","approx"
"5-HT1A","Serotonin","Cingulum_Ant","Anterior Cingulate","510.5","24 32","approx"
"5-HT1A","Serotonin","Cingulum_Mid","Middle Cingulate","436.5","24 23","approx"
"5-HT1A","Serotonin","Cingulum_Post","Posterior Cingulate","367.5","23 31","approx"
"5-HT1A","Serotonin","ParaHippocampal","Parahippocampal Gyrus","688","36","approx"
"5-HT1A","Serotonin","Heschl","Heschl's Gyrus","542","41 42","approx"
"5-HT1A","Serotonin","Temporal_Sup","Superior Temporal Gyrus","555.5","42 22","approx"
"5-HT1A","Serotonin","Temporal_Pole_Sup","Temporal Pole, Superior","603","38","exact"
"5-HT1A","Serotonin","Temporal_Mid","Middle Temporal Gyrus","664","21","exact"
"5-HT1A","Serotonin","Temporal_Pole_Mid","Temporal Pole, Middle","603","38","exact"
"5-HT1A","Serotonin","Temporal_Inf","Inferior Temporal Gyrus","540","37B 37L 20","approx"
"5-HT1A","Serotonin","Postcentral","Postcentral Gyrus","440","1 2 3a 3b","exact"
"5-HT1A","Serotonin","Parietal_Sup","Superior Parietal Lobule","441","5L","approx"
"5-HT1A","Serotonin","Parietal_Inf","Inferior Parietal Lobule","488","PFm","approx"
"5-HT1A","Serotonin","SupraMarginal","Supramarginal Gyrus","490.5","PFt PFm","approx"
"5-HT1A","Serotonin","Angular","Angular Gyrus","375","PGa PGp","exact"
"5-HT1A","Serotonin","Precuneus","Precuneus","413.5","31 5M","approx"
"5-HT1A","Serotonin","Paracentral_Lobule","Paracentral Lobule","397","5M","approx"
"5-HT1A","Serotonin","Calcarine","Calcarine Cortex","267","V1","exact"
"5-HT1A","Serotonin","Cuneus","Cuneus","331","V2d V3A V3d","approx"
"5-HT1A","Serotonin","Lingual","Lingual Gyrus","378.3","V2v V3v V4v","approx"
"5-HT1A","Serotonin","Occipital_Sup","Superior Occipital Gyrus","343.5","V3A V3d","approx"
"5-HT1A","Serotonin","Occipital_Mid","Middle Occipital Gyrus","450","37L","approx"
"5-HT1A","Serotonin","Occipital_Inf","Inferior Occipital Gyrus","397","V3v V4v","approx"
"5-HT1A","Serotonin","Fusiform","Fusiform Gyrus","408","FG1 FG2 37B 37M","approx"
"5-HT2 (class)","Serotonin","Precentral","Precentral Gyrus","218.5","4 6","approx"
"5-HT2 (class)","Serotonin","Frontal_Sup","Superior Frontal Gyrus","301","8 9","approx"
"5-HT2 (class)","Serotonin","Frontal_Mid","Middle Frontal Gyrus","312.5","8 9 10L 46","approx"
"5-HT2 (class)","Serotonin","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","271","44","exact"
"5-HT2 (class)","Serotonin","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","266","45","exact"
"5-HT2 (class)","Serotonin","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","366","47","approx"
"5-HT2 (class)","Serotonin","Supp_Motor_Area","Supplementary Motor Area","203","6","approx"
"5-HT2 (class)","Serotonin","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","297","10M","approx"
"5-HT2 (class)","Serotonin","Frontal_Med_Orb","Medial Orbitofrontal Cortex","334","11","approx"
"5-HT2 (class)","Serotonin","Rectus","Gyrus Rectus","334","11","approx"
"5-HT2 (class)","Serotonin","Cingulum_Ant","Anterior Cingulate","384","24 32","approx"
"5-HT2 (class)","Serotonin","Cingulum_Mid","Middle Cingulate","400","24 23","approx"
"5-HT2 (class)","Serotonin","Cingulum_Post","Posterior Cingulate","406","23 31","approx"
"5-HT2 (class)","Serotonin","ParaHippocampal","Parahippocampal Gyrus","375","36","approx"
"5-HT2 (class)","Serotonin","Heschl","Heschl's Gyrus","388.5","41 42","approx"
"5-HT2 (class)","Serotonin","Temporal_Sup","Superior Temporal Gyrus","367.5","42 22","approx"
"5-HT2 (class)","Serotonin","Temporal_Pole_Sup","Temporal Pole, Superior","392","38","exact"
"5-HT2 (class)","Serotonin","Temporal_Mid","Middle Temporal Gyrus","410","21","exact"
"5-HT2 (class)","Serotonin","Temporal_Pole_Mid","Temporal Pole, Middle","392","38","exact"
"5-HT2 (class)","Serotonin","Temporal_Inf","Inferior Temporal Gyrus","338.7","37B 37L 20","approx"
"5-HT2 (class)","Serotonin","Postcentral","Postcentral Gyrus","363.8","1 2 3a 3b","exact"
"5-HT2 (class)","Serotonin","Parietal_Sup","Superior Parietal Lobule","387","5L","approx"
"5-HT2 (class)","Serotonin","Parietal_Inf","Inferior Parietal Lobule","368","PFm","approx"
"5-HT2 (class)","Serotonin","SupraMarginal","Supramarginal Gyrus","362.5","PFt PFm","approx"
"5-HT2 (class)","Serotonin","Angular","Angular Gyrus","353.5","PGa PGp","exact"
"5-HT2 (class)","Serotonin","Precuneus","Precuneus","395","31 5M","approx"
"5-HT2 (class)","Serotonin","Paracentral_Lobule","Paracentral Lobule","377","5M","approx"
"5-HT2 (class)","Serotonin","Calcarine","Calcarine Cortex","506","V1","exact"
"5-HT2 (class)","Serotonin","Cuneus","Cuneus","368","V2d V3A V3d","approx"
"5-HT2 (class)","Serotonin","Lingual","Lingual Gyrus","409.7","V2v V3v V4v","approx"
"5-HT2 (class)","Serotonin","Occipital_Sup","Superior Occipital Gyrus","355.5","V3A V3d","approx"
"5-HT2 (class)","Serotonin","Occipital_Mid","Middle Occipital Gyrus","343","37L","approx"
"5-HT2 (class)","Serotonin","Occipital_Inf","Inferior Occipital Gyrus","389","V3v V4v","approx"
"5-HT2 (class)","Serotonin","Fusiform","Fusiform Gyrus","272.8","FG1 FG2 37B 37M","approx"
"D1","Dopamine","Precentral","Precentral Gyrus","39.5","4 6","approx"
"D1","Dopamine","Frontal_Sup","Superior Frontal Gyrus","74.5","8 9","approx"
"D1","Dopamine","Frontal_Mid","Middle Frontal Gyrus","74.5","8 9 10L 46","approx"
"D1","Dopamine","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","62","44","exact"
"D1","Dopamine","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","69","45","exact"
"D1","Dopamine","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","71","47","approx"
"D1","Dopamine","Supp_Motor_Area","Supplementary Motor Area","30","6","approx"
"D1","Dopamine","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","74","10M","approx"
"D1","Dopamine","Frontal_Med_Orb","Medial Orbitofrontal Cortex","85","11","approx"
"D1","Dopamine","Rectus","Gyrus Rectus","85","11","approx"
"D1","Dopamine","Cingulum_Ant","Anterior Cingulate","90","24 32","approx"
"D1","Dopamine","Cingulum_Mid","Middle Cingulate","85.5","24 23","approx"
"D1","Dopamine","Cingulum_Post","Posterior Cingulate","78.5","23 31","approx"
"D1","Dopamine","ParaHippocampal","Parahippocampal Gyrus","67","36","approx"
"D1","Dopamine","Heschl","Heschl's Gyrus","70.5","41 42","approx"
"D1","Dopamine","Temporal_Sup","Superior Temporal Gyrus","62","42 22","approx"
"D1","Dopamine","Temporal_Pole_Sup","Temporal Pole, Superior","97","38","exact"
"D1","Dopamine","Temporal_Mid","Middle Temporal Gyrus","69","21","exact"
"D1","Dopamine","Temporal_Pole_Mid","Temporal Pole, Middle","97","38","exact"
"D1","Dopamine","Temporal_Inf","Inferior Temporal Gyrus","76","37B 37L 20","approx"
"D1","Dopamine","Postcentral","Postcentral Gyrus","78.5","1 2 3a 3b","exact"
"D1","Dopamine","Parietal_Sup","Superior Parietal Lobule","77","5L","approx"
"D1","Dopamine","Parietal_Inf","Inferior Parietal Lobule","77","PFm","approx"
"D1","Dopamine","SupraMarginal","Supramarginal Gyrus","75","PFt PFm","approx"
"D1","Dopamine","Angular","Angular Gyrus","75.5","PGa PGp","exact"
"D1","Dopamine","Precuneus","Precuneus","78.5","31 5M","approx"
"D1","Dopamine","Paracentral_Lobule","Paracentral Lobule","74","5M","approx"
"D1","Dopamine","Calcarine","Calcarine Cortex","118","V1","exact"
"D1","Dopamine","Cuneus","Cuneus","101","V2d V3A V3d","approx"
"D1","Dopamine","Lingual","Lingual Gyrus","102","V2v V3v V4v","approx"
"D1","Dopamine","Occipital_Sup","Superior Occipital Gyrus","98.5","V3A V3d","approx"
"D1","Dopamine","Occipital_Mid","Middle Occipital Gyrus","81","37L","approx"
"D1","Dopamine","Occipital_Inf","Inferior Occipital Gyrus","97.5","V3v V4v","approx"
"D1","Dopamine","Fusiform","Fusiform Gyrus","73.8","FG1 FG2 37B 37M","approx"
